date,total,gorkana,htfp,journalism
2017-02-17,26,19,6,1
2017-07-07,290,208,31,51
2017-08-18,75,54,4,17
2017-06-16,23,8,10,5
2017-02-24,18,8,6,4
2017-06-23,40,16,12,12
2017-05-19,87,52,16,19
2017-02-10,318,199,58,61
2017-03-24,6,3,2,1
2017-04-21,10,1,9,0
2017-04-28,30,20,8,2
2017-03-03,4,2,2,0
2017-04-14,19,16,0,3
2017-07-28,24,16,4,4
2017-07-14,19,14,4,1
2017-05-05,104,65,12,27
2017-03-17,40,19,11,10
2017-07-21,2,1,1,0
2017-04-07,263,169,35,59
2017-03-10,273,164,48,61
2017-02-02,29,0,14,15
2017-08-11,62,44,3,15
2017-03-31,21,16,1,4
2017-06-09,9,4,2,3
2017-02-03,59,59,0,0
2017-06-02,8,3,4,1
2017-08-04,280,195,23,62
2017-05-12,11,10,0,1
2017-06-30,79,57,16,6
2017-05-26,319,201,50,68
