date,count
2017-04-28,190
2017-06-23,203
2017-05-19,212
2017-02-10,211
2017-03-24,161
2017-06-30,215
2017-07-14,200
2017-07-21,215
2017-08-25,205
2017-08-18,199
2017-03-03,176
2017-06-02,195
2017-05-26,201
2017-04-14,187
2017-04-07,189
2017-04-21,187
2017-07-28,206
2017-06-16,204
2017-07-07,208
2017-02-24,193
2017-09-01,204
2017-08-11,212
2017-02-03,222
2017-05-05,186
2017-03-31,197
2017-05-12,200
2017-03-17,164
2017-03-10,165
2017-02-17,211
2017-06-09,205
2017-08-04,226
