role,count
,5
reporter/writer – debt market commentary – london,1
freelance sports sub-editor,1
prima & red,1
thomson reutersinternational financing review,1
news analyst,2
health,1
freelance writer covering biopharmaceutical sector in latin america for daily b2b news service,1
deputy political editor,1
celebrity intern,1
financial reporter,2
acquisitions marketing executive,1
chief editor @ givemesport,1
freelance researcher / writer,1
senior conference producer,1
syndication executive,1
advanced content writer,1
commercial features writer,1
syndication editor,1
sport seo editor,1
markets reporter,6
assistant producer,2
health care reporter,3
editor / deputy editor,1
freelance desk video producer,1
journalist and content editor,1
reuter,4
head of thematic vertical platform travel,1
freelance copy editor,2
freelance production editor,1
motion graphics video journalist,1
press officer,4
corporate bond editor,2
legal writer,1
digital journalist,7
culture director,1
digital trends reporter,3
media relations officer,1
business / legal journalist,1
digital showbiz reporter,1
womenswear & lingerie editor,1
opinion editor,1
social media director,1
audience development producer,1
journalist applicant,1
culture writer,1
jobs content manager,1
art director,11
freelance fact check journalist,1
senior medical writer,1
picture intern,1
french speaking editor / writer financial new,1
deputy comment editor,1
section editor,1
investigations reporter,1
developer,1
senior researcher / writer,1
assistant editor ready for deputy promotion,1
digital and print editor,1
lifestyle editor,2
senior producer,5
website & newsletter editor,2
online managing editor,2
media & communications manager,1
global editor-in-chief,1
senior creative lead,1
technical reporter,1
internship,2
​the wall street journal,2
senior / chief reporter,2
assistant going out editor,1
fashion writer,1
red & prima,1
sub-editors and online journalist,1
senior business writer,1
freelance ireland correspondent,1
trends & advance content writer,2
entertainment writer & content producer,1
multimedia producer,2
energy market reporter,1
lecturer/senior lecturer,2
head of print sales and subscription,1
assistant celebrity & tv editor,5
internal communications business partner,2
celebrity news reporter,1
renewables correspondent,2
metals correspondent,1
social community manager,1
financial services reporter,1
fashion assistant,4
graphic designer,4
us correspondent / ny,1
senior staff writer / assistant editor,1
investment data journalist,2
handelsblatt,1
video publishing coordinator,1
video researcher,2
broadcast journalist / editor,1
head of social media,1
multimedia news and features reporter,1
assistant editor,29
creative solutions manager,1
trainee video journalist,2
brexit reporter,1
executive editor,3
community editor,2
website content editor,2
conference research and production,1
magazine editor,2
travel writers/researchers/reviewer,1
freelance moderator,2
comment/news editor,1
americas editor,1
editorial intern,3
international media researcher,1
south west business editor,1
video journalist,6
online news writer/editor,1
publications officer,1
product analyst,1
freelance reporter,1
editor-in-chief,17
australia,1
technology & facilities editor,1
hedge fund alert,1
assistant to editor-in-chief,1
market reporter- italian speaking,1
pay and reward editor,1
deputy national editor,1
junior commissioning editor,1
news editor / managing editor,1
technology editor,5
senior subeditor,3
sales executive,1
wsj. magazine,2
project manager,2
health editor,2
senior reporter,59
public policy journalist,1
business writer & research analyst,1
harper’s bazaar arabia,1
content editor,19
chief correspondent,1
docket journalist,1
digital news producer,1
online reporter,3
page/graphic designer,1
investor's business daily,2
head of new,3
social media assistant,4
weekend news editor,3
seo editor,4
freelance healthcare reporter,1
absolute return - ny,1
editor/sub-editor,1
freelance project editor,1
social media executive,4
online seo editor,1
motions graphic designer,1
mergermarket & dealreporter,1
cookery writer,1
the walter cronkite school of journalism & mass communication,2
copy editor,12
deputy features editor/senior features writer,1
communications & fundraising manager,1
freelance night editor,1
markets editor / tx,1
digital & social media co-ordinator,1
alumni communications assistant,1
video editing fellow,1
what's on editor,2
food trends editor,1
the wall street journal / dow jones newswire,1
senior trending content journalist,1
junior marketing automation technician,1
communications and media officer,2
editor of research europe,1
director of the journalism fellowship programme,1
junior beauty writer / assistant,1
senior writer,1
b2b editorial,1
news desk operator,1
insight editor – new premium global information service launch,1
germany columnist,3
digital content assistant,1
deputy community coordinator,1
foreign reporter,2
building and building design,2
building,1
health writer,2
features writer & sub-editor,1
senior foreign reporter,1
hearst magazinesme,2
digital enterprise producer,1
mobile / application editor,1
personal finance correspondent,3
videographer,1
telecom correspondent,1
corporate affairs executive,1
audience development manager,1
video-led digital sports writer,1
junior news writer,1
operations manager,1
policy editor,1
financial editor,1
group social media editor,2
assistant national editor,1
digital product manager,1
business journalist,3
argus media seeks german-speaking reporters in london,1
full service agency,1
banking columnist,2
waters magazine & waterstechnology,1
freelance finance and technology specialist,1
redakteur,1
maternity cover,1
features writer,21
deputy art editor,3
food writer,2
junior designer,11
commercial special projects editor,1
food editor,1
tv & soap writer,1
